,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
229,黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,8.7,415327,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻
230,二十二,https://movie.douban.com/subject/26430107/,8.7,296526,导演: 郭柯 Ke Guo,主演: ,2015,中国大陆,纪录片
231,血钻,https://movie.douban.com/subject/1428175/,8.7,388674,导演: 爱德华·兹威克 Edward Zwick,主演: 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险
232,战争之王,https://movie.douban.com/subject/1419936/,8.7,377514,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情 犯罪
233,火星救援,https://movie.douban.com/subject/25864085/,8.5,749034,导演: 雷德利·斯科特 Ridley Scott,主演: 马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
234,步履不停,https://movie.douban.com/subject/2222996/,8.8,286507,导演: 是枝裕和 Hirokazu Koreeda,主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭
235,房间,https://movie.douban.com/subject/25724855/,8.8,374170,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,主演: 布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
236,魂断蓝桥,https://movie.douban.com/subject/1293964/,8.8,285084,导演: 茂文·勒鲁瓦 Mervyn LeRoy,主演: 费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争
237,千年女优,https://movie.douban.com/subject/1307394/,8.8,277623,导演: 今敏 Satoshi Kon,主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情
238,白日梦想家,https://movie.douban.com/subject/2133323/,8.6,509140,导演: 本·斯蒂勒 Ben Stiller,主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情 喜剧 冒险
239,谍影重重2,https://movie.douban.com/subject/1308767/,8.7,361611,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚
240,哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,8.5,591256,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国 美国,奇幻 冒险
241,高山下的花环,https://movie.douban.com/subject/1422283/,9.5,96973,导演: 谢晋 Jin Xie,主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆),1985,中国大陆
242,蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,8.6,685126,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,主...,2018,美国,动作 科幻 动画 冒险
243,弱点,https://movie.douban.com/subject/3552028/,8.7,318855,导演: 约翰·李·汉考克 John Lee Hancock,主演: 桑德拉·布洛克 Sandra Bu...,2009,美国,剧情 家庭 传记 运动
244,谍影重重,https://movie.douban.com/subject/1304102/,8.6,438766,导演: 道格·里曼 Doug Liman,主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚
245,阿飞正传,https://movie.douban.com/subject/1305690/,8.5,522582,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,中国香港,犯罪 剧情 爱情
246,朗读者,https://movie.douban.com/subject/2213597/,8.6,460595,导演: 史蒂芬·戴德利 Stephen Daldry,主演: 凯特·温丝莱特 Kate Winslet ...,2008,美国 德国,剧情 爱情
247,大红灯笼高高挂,https://movie.douban.com/subject/1293323/,8.8,288650,导演: 张艺谋 Yimou Zhang,主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,中国大陆 中国香港 中国台湾,剧情
248,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,8.6,436254,导演: 约翰·卡尼 John Carney,主演: 凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐
249,燃情岁月,https://movie.douban.com/subject/1295865/,8.7,293069,导演: 爱德华·兹威克 Edward Zwick,主演: 布拉德·皮特 Brad Pitt / 安东...,1994,美国,剧情 爱情 战争 西部
